,code,name1,name2,type,name3
12761,015890,FGZZ500JBMJXGPFQSC,富国中证500基本面精选股票发起式C,股票型,FUGUOZHONGZHENG500JIBENMIANJINGXUANGUPIAOFAQISHIC
12762,015891,FGSZ50JBMJXGPFQSA,富国上证50基本面精选股票发起式A,股票型,FUGUOSHANGZHENG50JIBENMIANJINGXUANGUPIAOFAQISHIA
12763,015892,FGSZ50JBMJXGPFQSC,富国上证50基本面精选股票发起式C,股票型,FUGUOSHANGZHENG50JIBENMIANJINGXUANGUPIAOFAQISHIC
12764,015893,GFJYZQA,广发景益债券A,债券型-长债,GUANGFAJINGYIZHAIQUANA
12765,015894,PAZZXFDZZTETFFQSLJA,平安中证消费电子主题ETF发起式联接A,指数型-股票,PINGANZHONGZHENGXIAOFEIDIANZIZHUTIETFFAQISHILIANJIEA
12766,015895,PAZZXFDZZTETFFQSLJC,平安中证消费电子主题ETF发起式联接C,指数型-股票,PINGANZHONGZHENGXIAOFEIDIANZIZHUTIETFFAQISHILIANJIEC
12767,015896,THZZXFHGZSFQA,天弘中证细分化工指数发起A,指数型-股票,TIANHONGZHONGZHENGXIFENHUAGONGZHISHUFAQIA
12768,015897,THZZXFHGZSFQC,天弘中证细分化工指数发起C,指数型-股票,TIANHONGZHONGZHENGXIFENHUAGONGZHISHUFAQIC
12769,015898,DCYHSLZQFQSA,大成元合双利债券发起式A,债券型-混合二级,DACHENGYUANHESHUANGLIZHAIQUANFAQISHIA
12770,015899,DCYHSLZQFQSC,大成元合双利债券发起式C,债券型-混合二级,DACHENGYUANHESHUANGLIZHAIQUANFAQISHIC
12771,015900,DFAEFXKYNCYHHA,东方阿尔法兴科一年持有混合A,混合型-偏股,DONGFANGAERFAXINGKEYINIANCHIYOUHUNHEA
12772,015901,DFAEFXKYNCYHHC,东方阿尔法兴科一年持有混合C,混合型-偏股,DONGFANGAERFAXINGKEYINIANCHIYOUHUNHEC
12773,015902,BSYZJXHHA,博时优质精选混合A,混合型-偏股,BOSHIYOUZHIJINGXUANHUNHEA
12774,015903,BSYZJXHHC,博时优质精选混合C,混合型-偏股,BOSHIYOUZHIJINGXUANHUNHEC
12775,015904,GFXNYJXGPA,广发新能源精选股票A,股票型,GUANGFAXINNENGYUANJINGXUANGUPIAOA
12776,015905,GFXNYJXGPC,广发新能源精选股票C,股票型,GUANGFAXINNENGYUANJINGXUANGUPIAOC
12777,015906,XYHS300ETFFQLJA,兴业沪深300ETF发起联接A,指数型-股票,XINGYEHUSHEN300ETFFAQILIANJIEA
12778,015907,XYHS300ETFFQLJC,兴业沪深300ETF发起联接C,指数型-股票,XINGYEHUSHEN300ETFFAQILIANJIEC
12779,015908,FZFBHYZQA,方正富邦鸿远债券A,债券型-混合二级,FANGZHENGFUBANGHONGYUANZHAIQUANA
12780,015909,FZFBHYZQC,方正富邦鸿远债券C,债券型-混合二级,FANGZHENGFUBANGHONGYUANZHAIQUANC
